rua,bairro,numero,cep,cidade,estado,pais
4PW3+QW Itapororoca - PB,Nao possui Bairro,Sem Numero,Nao possui CEP,QW Itapororoca,PB,Brasil
R. Antônio Benvindo,Santa Terezinha,36,58200-000,Guarabira,PB,Brasil
4PW4+V4 Itapororoca - PB,Nao possui Bairro,Sem Numero,Nao possui CEP, Itapororoca,PB,Brasil
Av. Des. Pedro Bandeira,Rosário,251,58200-000,Guarabira,PB,Brasil
Av. Des. Pedro Bandeira,Rosário,648,58200-000,Guarabira,PB,Brasil
4PW4+V4 Itapororoca - PB,Nao possui Bairro,Sem Numero,Nao possui CEP, Itapororoca,PB,Brasil
R. João Alves Alençar,Nao possui Bairro, 9,58270-000,Araçagi,PB,Brasil
4HF8+M7 Cachoeira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
R. Carlos Espíndola,Nordeste,156,58200-000,Guarabira,PB,Brasil
4HF8+M7 Cachoeira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
Av. Des. Pedro Bandeira,Rosário,730,58200-000,Guarabira,PB,Brasil
4PW4+V4 Itapororoca - PB,Nao possui Bairro,Sem Numero,Nao possui CEP, Itapororoca,PB,Brasil
R. Pref. Manoel Lordão,Guarabira,729,58200-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Costa Beiriz,Centro,27,58200-000,Guarabira,PB,Brasil
3FV7+8P,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
4PW4+V4 Itapororoca - PB,Nao possui Bairro,Sem Numero,Nao possui CEP, Itapororoca,PB,Brasil
R. Artur Pontes,São José,255,58200-000,Guarabira,PB,Brasil
3FV7+8P,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
R. José Epaminondas,Bairro Novo,380,58200-000,Guarabira,PB,Brasil
R. Antonieta M Mendes,Santa Terezinha,130,58200-000,Guarabira,PB,Brasil
PB-075,Nao possui Bairro, 28,58208-000,Cuitegi,PB,Brasil
4PW4+V4 Itapororoca - PB,Nao possui Bairro,Sem Numero,Nao possui CEP, Itapororoca,PB,Brasil
3FV7+8P,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
4F62+P2 Cuitegi - PB,Nao possui Bairro,Sem Numero,Nao possui CEP, Cuitegi,PB,Brasil
Av. Dom Pedro II,Centro,309,58200-000,Guarabira,PB,Brasil
R. Prof. Mariana Marques Leite,Alto Boa Vista,175,58200-000,Guarabira,PB,Brasil
PB-057 - Guarabira,Guarabira,057,58270-000,Araçagi,PB,Brasil
R. Diógenes de Aquino Barros,Nordeste,108,58200-000,Guarabira,PB,Brasil
R. Guarani,Nordeste,53,58200-000,Guarabira,PB,Brasil
4G7J+3C Guarabira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
R. José Gomes de Melo,Primavera,79,58200-000,Guarabira,PB,Brasil
3H3M+RR Mulungu - PB,Nao possui Bairro,Sem Numero,Nao possui CEP,RR Mulungu,PB,Brasil
R. Sete de Setembro,Nao possui Bairro, 83,58208-000,Cuitegi,PB,Brasil
R. São Manoel,Cordeiro,527,58200-000,Guarabira,PB,Brasil
4H8H+29 Cachoeira,Nao possui Bairro,Sem Numero,Nao possui CEP,Guarabira,PB,Brasil
R. do Cruzeiro,Nao possui Bairro, 162,58270-000,Araçagi,PB,Brasil
PB-075 - Guarabira,Guarabira,075,58200-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Jovêntina São da Silva,Santa Terezinha,87,58200-000,Guarabira,PB,Brasil
Av. Juscelino Kubitschek de Oliveira,Juá,570,58200-000,Guarabira,PB,Brasil
R. Amaro Guedes,Nordeste,302,58200-000,Guarabira,PB,Brasil
R. Ana Bulhões,Primavera,171,58200-000,Guarabira,PB,Brasil
R. Padre Ibiapina,Guarabira,207,58200-000,Nao possui Cidade,Nao possui Estado,Brasil
4H8H+29 Cachoeira,Nao possui Bairro,Sem Numero,Nao possui CEP,Guarabira,PB,Brasil
Rodovia 055 Distrito mecanico n°2532 - Distrito Industrial,Distrito Industrial,2532,58200-000,Guarabira,PB,Brasil
R. Belmira Barbosa Pontes,Bairro Novo,47,58200-000,Guarabira,PB,Brasil
Sítio Caboclo Restaurante Rural Sabor Camponês Zona Rural - Guarabira,Nao possui Bairro,Sem Numero,58200-000, Zona Rural,Guarabira,Brasil
R. São Manoel,Cordeiro,447,58200-000,Guarabira,PB,Brasil
4H8H+29 Cachoeira,Nao possui Bairro,Sem Numero,Nao possui CEP,Guarabira,PB,Brasil
PB-057,Guarabira,299,58200-000,Nao possui Cidade,Nao possui Estado,Brasil
4F3M+4F Cuitegi - PB,Nao possui Bairro,Sem Numero,Nao possui CEP, Cuitegi,PB,Brasil
R. Antônio Cavalcante de Melo,Conj. Chateaubriand,236,58200-000,Guarabira,PB,Brasil
R. Hermenegildo de Almeida,São José,113,58200-000,Guarabira,PB,Brasil
R. Otacílio Líra Cabral,Guarabira,396,58200-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Hildebrando Matias,Nordeste,47,58200-000,Guarabira,PB,Brasil
R. Otacílio Líra Cabral,Guarabira,396,58200-000,Nao possui Cidade,Nao possui Estado,Brasil
Av. Des. Pedro Bandeira,Rosário,510,58200-000,Guarabira,PB,Brasil
4H8H+2C Cachoeira,Nao possui Bairro,Sem Numero,Nao possui CEP,Guarabira,PB,Brasil
3H2C+2H Mulungu - PB,Nao possui Bairro,Sem Numero,Nao possui CEP, Mulungu,PB,Brasil
R. Joca Ataíde,Bairro Novo,272,58200-000,Guarabira,PB,Brasil
4GQF+WJ Guarabira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
4PW4+V4 Itapororoca - PB,Nao possui Bairro,Sem Numero,Nao possui CEP, Itapororoca,PB,Brasil
4H8H+2C Cachoeira,Nao possui Bairro,Sem Numero,Nao possui CEP,Guarabira,PB,Brasil
R. Manoel Ferreira de Barros,Bairro Novo,189,58200-000,Guarabira,PB,Brasil
R. Clemente Pereira,Juá,45,58200-000,Guarabira,PB,Brasil
R. Zéquinha Uchôa,Clóvis Bezerra,117,58200-000,Guarabira,PB,Brasil
R. da Esperança,Cordeiro,10,58200-000,Guarabira,PB,Brasil
PB-073,Guarabira,396,58200-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Sete de Setembro,Nao possui Bairro, 67,58208-000,Cuitegi,PB,Brasil
R. Luiz Porpino da Silva,Conj. Osmar de Aquino,681,58200-000,Guarabira,PB,Brasil
5G2C+G5 Guarabira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
PB-057,Guarabira,299,58200-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Maria São da Conceição,Primavera,31,58200-000,Guarabira,PB,Brasil
3HR6+X3 Cachoeira,Nao possui Bairro,Sem Numero,Nao possui CEP,Guarabira,PB,Brasil
R. Otacílio Líra Cabral,Guarabira,396,58200-000,Nao possui Cidade,Nao possui Estado,Brasil
Av. Pref. Benjamim Rosas de Vasconcelos,Nao possui Bairro, 111,58270-000,Araçagi,PB,Brasil
R. Principal,Cachoeira,1190,58205-000,Guarabira,PB,Brasil
4GHQ+9J Guarabira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
3HWH+6H Cachoeira,Nao possui Bairro,Sem Numero,Nao possui CEP,Guarabira,PB,Brasil
R. Manoel Ramiro,Rosário,26,58200-000,Guarabira,PB,Brasil
R. Clemente Pereira,Juá,190,58200-000,Guarabira,PB,Brasil
4H8H+29 Cachoeira,Nao possui Bairro,Sem Numero,Nao possui CEP,Guarabira,PB,Brasil
R. Projetada Um,Juá,15,58200-000,Guarabira,PB,Brasil
R. Manoel Alvino de Moura,Piloezinhos,268,58210-000,Nao possui Cidade,Nao possui Estado,Brasil
4H8H+2C Cachoeira,Nao possui Bairro,Sem Numero,Nao possui CEP,Guarabira,PB,Brasil
R. Principal,Cachoeira,720,58205-000,Guarabira,PB,Brasil
Rua jose pereira da silva Ao lado do restaurante de cida De frente do estadio silvio porto - São José,Nao possui Bairro,Sem Numero,58200-000,Rua jose pereira da silva Ao lado do restaurante de cida De frente do estadio silvio porto,S�,Brasil
Sítio Caboclo Restaurante Rural Sabor Camponês Zona Rural - Guarabira,Nao possui Bairro,Sem Numero,58200-000, Zona Rural,Guarabira,Brasil
PB-057,Guarabira,77,58200-000,Nao possui Cidade,Nao possui Estado,Brasil
4JVJ+4W Araçagi - PB,Nao possui Bairro,Sem Numero,Nao possui CEP, Araçagi,PB,Brasil
R. José Joaquim de Melo,Cuitegi,320,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Oséias Bulhões,Guarabira,344,58200-000,Nao possui Cidade,Nao possui Estado,Brasil
4H8H+29 Cachoeira,Nao possui Bairro,Sem Numero,Nao possui CEP,Guarabira,PB,Brasil
R. João Alexandre de Araújo,Nao possui Bairro, 128,58208-000,Cuitegi,PB,Brasil
R. Clemente Pereira,Juá,190,58200-000,Guarabira,PB,Brasil
Sítio Chã da boa Esperança Chã,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
R. Oséias Bulhões,Guarabira,344,58200-000,Nao possui Cidade,Nao possui Estado,Brasil
Sítio Caboclo Restaurante Rural Sabor Camponês Zona Rural - Guarabira,Nao possui Bairro,Sem Numero,58200-000, Zona Rural,Guarabira,Brasil
R. José Ginaldo da Silva,Alto Boa Vista,256,58200-000,Guarabira,PB,Brasil
Rua José Américo,Nordeste,315,58200-000,Guarabira,PB,Brasil
PB-073,Itamatay,58,58200-000,Guarabira,PB,Brasil
5G2C+G5 Guarabira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
PB-057,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
Sona rural Sítio contendas - Cachoeira,Nao possui Bairro,Sem Numero,58200-000,tio contendas,Cachoeira,Brasil
4H8H+29 Cachoeira,Nao possui Bairro,Sem Numero,Nao possui CEP,Guarabira,PB,Brasil
R. José Madruga,Assis Chateaubriand,58,58200-000,Guarabira,PB,Brasil
R. Dr. Melo,Cordeiro,3,58200-000,Guarabira,PB,Brasil
R. Padre Ibiapina,Guarabira,121,58200-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Luiz Porpino da Silva,Conj. Osmar de Aquino,681,58200-000,Guarabira,PB,Brasil
Av. Padre Inácio de Almeida,Bairro Novo,199,58200-000,Guarabira,PB,Brasil
4J8C+72 Araçagi - PB,Nao possui Bairro,Sem Numero,Nao possui CEP, Araçagi,PB,Brasil
R. Osvaldo Azevedo,Conj. Chateaubriand,11,58200-000,Guarabira,PB,Brasil
R. Projetada 1,Nao possui Bairro, 1,58270-000,Araçagi,PB,Brasil
Sítio Caboclo Restaurante Rural Sabor Camponês Zona Rural - Guarabira,Nao possui Bairro,Sem Numero,58200-000, Zona Rural,Guarabira,Brasil
R. Manoel Ferreira de Barros,Bairro Novo,189,58200-000,Guarabira,PB,Brasil
650 - R. Napoleão Laureano - Bairro Novo,R. Napoleão Laureano - Bairro Novo,650,58200-000,o Laureano,Bairro,Brasil
4GWM+J8 Guarabira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
5J59+5R Araçagi - PB,Nao possui Bairro,Sem Numero,Nao possui CEP, Araçagi,PB,Brasil
5G2C+F5 Guarabira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
R. Zéquinha Uchôa,Cj Clovis Bezerra,425,58200-000,Guarabira,PB,Brasil
R. Profa. Maria do Carmo,Nao possui Bairro, 276,58270-000,Araçagi,PB,Brasil
4MRR+RR Cuité de Mamanguape - PB,Nao possui Bairro,Sem Numero,Nao possui CEP,de Mamanguape,PB,Brasil
Av. João Monteiro,Nao possui Bairro,Sem Numero,58210-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Amaro Guedes,Nordeste II,260,58200-000,Guarabira,PB,Brasil
R. Luis Augusto Ferreira,Alto Boa Vista,167,58200-000,Guarabira,PB,Brasil
R. Clemente Pereira,Juá,45,58200-000,Guarabira,PB,Brasil
Av. Pref. Benjamim Rosas de Vasconcelos,Nao possui Bairro, 79,58270-000,Araçagi,PB,Brasil
R. Severino Mendes,Nao possui Bairro, 543,58210-000,Nao possui Cidade,Nao possui Estado,Brasil
3HWH+7F Cachoeira,Nao possui Bairro,Sem Numero,Nao possui CEP,Guarabira,PB,Brasil
R. Sebastiao Francisco Ribeiro,A Definir,77,58857-000,o Bentinho,PB,Brasil
R. Principal,Cachoeira,1597,58205-000,Guarabira,PB,Brasil
5J36+48 Araçagi - PB,Nao possui Bairro,Sem Numero,Nao possui CEP, Araçagi,PB,Brasil
PB-057,Nao possui Bairro, 354,58270-000,Araçagi,PB,Brasil
XJF2+GV Mulungu - PB,Nao possui Bairro,Sem Numero,Nao possui CEP,GV Mulungu,PB,Brasil
R. Sete de Setembro,Cuitegi,81,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
PB-075,Nao possui Bairro, 14,58208-000,Cuitegi,PB,Brasil
4HRC+4P Guarabira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
R. Ulisses Stanislau de Lucena,Bairro Novo,457,58200-000,Guarabira,PB,Brasil
R. Cel. Joao Pimentel,Centro,320,58200-000,Guarabira,PB,Brasil
R. Raimundos Cruz,Nao possui Bairro, 364,58270-000,Araçagi,PB,Brasil
PB-075,Nao possui Bairro, 131,58208-000,Cuitegi,PB,Brasil
Av. Des. Pedro Bandeira,Rosário,510,58200-000,Guarabira,PB,Brasil
R. Jorge Maranhão,Rosário,148,58200-000,Guarabira,PB,Brasil
4H8H+2C Cachoeira,Nao possui Bairro,Sem Numero,Nao possui CEP,Guarabira,PB,Brasil
4H8H+29 Cachoeira,Nao possui Bairro,Sem Numero,Nao possui CEP,Guarabira,PB,Brasil
R. Zéquinha Uchôa,Clóvis Bezerra,117,58200-000,Guarabira,PB,Brasil
R. Silvino Marcolino da Silva,Nao possui Bairro, 227,58270-000,Araçagi,PB,Brasil
R. Augusto dos Anjos,Conj. Chateaubriand,136,58200-000,Guarabira,PB,Brasil
R. Nossa Sra. das Graças,Nao possui Bairro, 133,58270-000,Araçagi,PB,Brasil
R. Carlos Chagas,Conj. Chateaubriand,102,58200-000,Guarabira,PB,Brasil
R. João Milanês,Rosário,143,58200-000,Guarabira,PB,Brasil
4H8H+29 Cachoeira,Nao possui Bairro,Sem Numero,Nao possui CEP,Guarabira,PB,Brasil
R. Tranquilo Xavier,Guarabira,280,58200-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Luís Galvão,Bairro Novo,489,58200-000,Guarabira,PB,Brasil
R. Hildebrando Matias,Nordeste,47,58200-000,Guarabira,PB,Brasil
Av. Feliciano Batista de Amorim,Nao possui Bairro,Sem Numero,58200-000,N,Ju�,Brasil
PB-073,Guarabira,1314,58200-000,Nao possui Cidade,Nao possui Estado,Brasil
4H7H+X6 Cachoeira,Nao possui Bairro,Sem Numero,Nao possui CEP,Guarabira,PB,Brasil
4GPW+28 Guarabira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
4H8H+29 Cachoeira,Nao possui Bairro,Sem Numero,Nao possui CEP,Guarabira,PB,Brasil
R. João Gregório,Bairro Novo,1062,58200-000,Guarabira,PB,Brasil
Av. Afranio Peixoto,Assis Chateaubriand,56,58200-000,Guarabira,PB,Brasil
Av. Sabiniano Maia,Bairro Novo,1062,58200-000,Guarabira,PB,Brasil
R. Isabel dos Anjos,Rosário,91,58200-000,Guarabira,PB,Brasil
R. Manoel Francisco do Nascimento,Nordeste,120,58200-000,Guarabira,PB,Brasil
R. Augusto de Almeida,Bairro Novo,416,58200-000,Guarabira,PB,Brasil
R. Amaro Guedes,Nordeste,302,58200-000,Guarabira,PB,Brasil
R. Jorge Francisco da Costa,Guarabira,127,58200-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Isabel dos Anjos,Rosário,108,58200-000,Guarabira,PB,Brasil
R. Manoel Carlos da Silva,Conj. Osmar de Aquino,684,58200-000,Guarabira,PB,Brasil
PB-075 - Guarabira,Guarabira,075,58200-000,Nao possui Cidade,Nao possui Estado,Brasil
4GVX+QG Guarabira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
R. Lodônio R de Bulhões,Guarabira,258,58200-000,Nao possui Cidade,Nao possui Estado,Brasil
4HWJ+57 Guarabira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
R. Felipe Rodrigues,Nao possui Bairro, 126,58270-000,Araçagi,PB,Brasil
4GMV+WR Guarabira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
Rua Maria de Fatima Ribeiro,Mutirão,142,58200-000,Guarabira,PB,Brasil
3FWJ+M5 Cuitegi - PB,Nao possui Bairro,Sem Numero,Nao possui CEP, Cuitegi,PB,Brasil
R. Tres,Cuitegi,63,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
4PW4+V4 Itapororoca - PB,Nao possui Bairro,Sem Numero,Nao possui CEP, Itapororoca,PB,Brasil
R. Pref. Manoel Lordão,Nordeste II,355,58200-000,Guarabira,PB,Brasil
R. Augusto de Almeida,Bairro Novo,391,58200-000,Guarabira,PB,Brasil
R. João Batista Galvão,Clóvis Bezerra,202,58200-000,Guarabira,PB,Brasil
R. Maria Pimentel da Cunha,Nao possui Bairro, 248,58208-000,Cuitegi,PB,Brasil
Rua José Américo,Nordeste,258,58200-000,Guarabira,PB,Brasil
R. Antônio Gouvêia da Silva,Bairro Novo,638,58200-000,Guarabira,PB,Brasil
R. Pref. Manoel Lordão,Esplanada,335,58200-000,Guarabira,PB,Brasil
5H44+WR Guarabira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
R. João Batista Galvão,Cj Clovis Bezerra,99,58200-000,Guarabira,PB,Brasil
PB-073,Areia Branco,43,58200-000,Guarabira,PB,Brasil
R. Totó Matias,Clóvis Bezerra,316,58200-000,Guarabira,PB,Brasil
Av. Des. Pedro Bandeira,Rosário,510,58200-000,Guarabira,PB,Brasil
R. Rui Carneiro,Cuitegi,37,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
Rua José Américo,Nordeste,315,58200-000,Guarabira,PB,Brasil
4H8H+29 Cachoeira,Nao possui Bairro,Sem Numero,Nao possui CEP,Guarabira,PB,Brasil
3FR7+HV Cuitegi - PB,Nao possui Bairro,Sem Numero,Nao possui CEP,HV Cuitegi,PB,Brasil
R. Manoel de Melo,Bela Vista,46,58200-000,Guarabira,PB,Brasil
3FV7+8P,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
R. José Tomás dos Santos,Cuitegi,43,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
3FWH+P7 Cuitegi - PB,Nao possui Bairro,Sem Numero,Nao possui CEP, Cuitegi,PB,Brasil
Av. Rui Barbosa,Primavera,529,58200-000,Guarabira,PB,Brasil
PB-073,Guarabira,396,58200-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Jorge Francisco da Costa,Guarabira,418,58200-000,Nao possui Cidade,Nao possui Estado,Brasil
Av Feliciano Batista Amorim - Bairro Novo,Nao possui Bairro,Sem Numero,58200-000,Av Feliciano Batista Amorim,Bairro,Brasil
Rua Manoel Celeiro,Cordeiro,290,58200-000,Guarabira,PB,Brasil
R. Carlos Espíndola,Nordeste,82,58200-000,Guarabira,PB,Brasil
R. Tranquilo Xavier,Guarabira,282,58200-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Antônio Cavalcante de Melo,Conj. Chateaubriand,14,58200-000,Guarabira,PB,Brasil
Sítio Piripiri Sítio Piripiri - Guarabira,Nao possui Bairro,Sem Numero,58200-000,tio Piripiri,Guarabira,Brasil
PB-073,Itamatay,58,58200-000,Guarabira,PB,Brasil
R. Antonio Galdino Guedes,Cachoeira,60,58205-000,Guarabira,PB,Brasil
Av. Rui Barbosa,Centro,50,58200-000,Guarabira,PB,Brasil
PB-057,Guarabira,299,58200-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Principal,Cachoeira,230,58205-000,Guarabira,PB,Brasil
3FV7+8P,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
Rua Francisca T. Sales,São José,52,58200-000,Guarabira,PB,Brasil
R. Oséias Bulhões,Guarabira,344,58200-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Quintino Bocaiúva,Santa Terezinha,28,58200-000,Guarabira,PB,Brasil
4PW4+V4 Itapororoca - PB,Nao possui Bairro,Sem Numero,Nao possui CEP, Itapororoca,PB,Brasil
4PW3+QW Itapororoca - PB,Nao possui Bairro,Sem Numero,Nao possui CEP,QW Itapororoca,PB,Brasil
5G9C+P5 Guarabira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
4PW4+V4 Itapororoca - PB,Nao possui Bairro,Sem Numero,Nao possui CEP, Itapororoca,PB,Brasil
R. José da Cunha Rego,Bairro Novo,764,58200-000,Guarabira,PB,Brasil
R. Otacílio Líra Cabral,Mutirão,1080,58200-000,Guarabira,PB,Brasil
PB-073,Nao possui Bairro,Sem Numero,58213-000,Pirpirituba,PB,Brasil
Sítio contendas Zona rural - Cachoeira,Nao possui Bairro,Sem Numero,58200-000,tio contendas Zona rural,Cachoeira,Brasil
3FV7+8P,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
R. Henrique Pacífico,Bela Vista,156,58200-000,Guarabira,PB,Brasil
R. John Kenedy,Bairro Novo,498,58200-000,Guarabira,PB,Brasil
R. Principal,Fazenda Malhada,14,58208-000,Guarabira,PB,Brasil
Av. Des. Pedro Bandeira,Rosário,738,58200-000,Guarabira,PB,Brasil
R. Sta Isabel,Nordeste I,471,58200-000,Guarabira,PB,Brasil
4PW4+V4 Itapororoca - PB,Nao possui Bairro,Sem Numero,Nao possui CEP, Itapororoca,PB,Brasil
4PW4+M5 Itapororoca - PB,Nao possui Bairro,Sem Numero,Nao possui CEP, Itapororoca,PB,Brasil
R. Joca Ataíde,Bairro Novo,790,58200-000,Guarabira,PB,Brasil
R. José Joaquim de Melo,Cuitegi,320,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Nilo Pequeno de Moura,Bairro Novo,1125,58200-000,Guarabira,PB,Brasil
4GVX+QG Guarabira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
R. João Alves Pereira Lima,Cj Clovis Bezerra,41,58200-000,Guarabira,PB,Brasil
R. Principal,Fazenda Malhada,14,58208-000,Guarabira,PB,Brasil
6.859833 - 35.363264,35.363264,859833,58270-000,Araçagi,PB,Brasil
PB-057,Guarabira,62,58200-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Manoel Ramiro,Rosário,142,58200-000,Guarabira,PB,Brasil
R. São João,Nordeste I,69,58200-000,Guarabira,PB,Brasil
Av. Padre Inácio de Almeida,Centro,405,58200-000,Guarabira,PB,Brasil
R. São João,Nordeste I,69,58200-000,Guarabira,PB,Brasil
R. Pedro Curimã de Vasconcelos,Esplanada,35,58200-000,Guarabira,PB,Brasil
R. Raimundos Cruz,Nao possui Bairro, 376,58270-000,Araçagi,PB,Brasil
Av. Des. Pedro Bandeira,Rosário,272,58200-000,Guarabira,PB,Brasil
4PW4+M5 Itapororoca - PB,Nao possui Bairro,Sem Numero,Nao possui CEP, Itapororoca,PB,Brasil
A,Nao possui Bairro,Sem Numero,58200-000,Osmar de Aquino,Centro,Brasil
R. Sta Isabel,Nordeste I,344,58200-000,Guarabira,PB,Brasil
R. São Luís,São José,50,58200-000,Guarabira,PB,Brasil
Av. Cacildes Toscano de Brito - Guarabira,Nao possui Bairro,Sem Numero,58200-000,Cacildes Toscano de Brito,Guarabira,Brasil
Av. Des. Pedro Bandeira,Rosário,226,58200-000,Guarabira,PB,Brasil
4H8H+29 Cachoeira,Nao possui Bairro,Sem Numero,Nao possui CEP,Guarabira,PB,Brasil
R. Otacílio Líra Cabral,Clóvis Bezerra,1352,58200-000,Guarabira,PB,Brasil
PB-057,Guarabira,299,58200-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Ver. Francisco Elias,Cuitegi,80,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Dr. Dario Paiva Ramalho,Cuitegi,37,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Josué Pímentel,Bela Vista,210,58200-000,Guarabira,PB,Brasil
R. Manoel de Oliveira,Esplanada,258,58200-000,Guarabira,PB,Brasil
4GWC+CX - Guarabira,Nao possui Bairro,Sem Numero,58200-000,CX,Guarabira,Brasil
R. Padre Ibiapina,Guarabira,121,58200-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Sta Isabel,Nordeste I,327,58200-000,Guarabira,PB,Brasil
R. São Manoel,Bela Vista,227,58200-000,Guarabira,PB,Brasil
R. São Manoel,Cordeiro,363,58200-000,Guarabira,PB,Brasil
PB-073,Guarabira,620,58200-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Clotilde Coutinho de Souza,Guarabira,45,58200-000,Nao possui Cidade,Nao possui Estado,Brasil
Av. Des. Pedro Bandeira,Rosário,852,58200-000,Guarabira,PB,Brasil
PB-073,Cachoeira,13,58200-000,Guarabira,PB,Brasil
R. Severino Paiva Resende,Nordeste,161,58200-000,Guarabira,PB,Brasil
R. Raul Gomes da Costa,Nordeste,115,58200-000,Guarabira,PB,Brasil
Av. Cacildes Toscano de Brito - Guarabira,Nao possui Bairro,Sem Numero,58200-000,Cacildes Toscano de Brito,Guarabira,Brasil
R. José Marinho de Lucena,Cuitegi,312,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Pedro Semeão Régis,Nordeste,61,58200-000,Guarabira,PB,Brasil
4H8H+29 Cachoeira,Nao possui Bairro,Sem Numero,Nao possui CEP,Guarabira,PB,Brasil
4GWH+87 Guarabira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
R. Luiz Porpino da Silva,Conj. Osmar de Aquino,681,58200-000,Guarabira,PB,Brasil
R. Otacílio Líra Cabral,Areia Branco,812,58200-000,Guarabira,PB,Brasil
R. Henrique Pacífico,Bela Vista,156,58200-000,Guarabira,PB,Brasil
R. D,Guarabira,337,58200-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Manoel Alves de Souza,Nao possui Bairro, 332,58210-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Pedro Semeão Régis,Nordeste,61,58200-000,Guarabira,PB,Brasil
4GMW+J6 Guarabira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
R. Otacílio Líra Cabral,Guarabira,580,58200-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Antônio Calixto do Rêgo,Nao possui Bairro, 37,58208-000,Cuitegi,PB,Brasil
4PW4+V4 Itapororoca - PB,Nao possui Bairro,Sem Numero,Nao possui CEP, Itapororoca,PB,Brasil
4PW4+V4 Itapororoca - PB,Nao possui Bairro,Sem Numero,Nao possui CEP, Itapororoca,PB,Brasil
4PW4+V4 Itapororoca - PB,Nao possui Bairro,Sem Numero,Nao possui CEP, Itapororoca,PB,Brasil
R. Antônio Camelo de Melo,Nao possui Bairro, 63,58210-000,Nao possui Cidade,Nao possui Estado,Brasil
